TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
20020101,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-14.002,-15.177,2.04,-12.045,1.965,-14.002,0.0,-15.177,2.04,0.0,-12.045,1.965,0.0,113.333,138.258,0.666667,57.924,57.758,0.666667,-9999,-9999,193.288,193.288,0.0,-9999,-9999,172.596,172.596,0.0,-9999,-9999,0.0,0.0,0.0,98.392,98.392,0.0,0.066,0.066,0.0,1.458,1.458,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,18.0201,0.0,-9999,-9999,-9999,-9999,-9999,55.3037,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,0.220563,0.0,-9999,-9999,0.220563,0.0,-9999,-9999,0.217944,0.0,0.000944567,0.214593,0.214593,0.216466,0.220563,0.220563,0.220563,0.220563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.360044,0.150948,0.0,-9999,-9999,-0.0332873,0.125812,0.0,-9999,-9999,0.360044,0.150948,0.0,-9999,-9999,-0.0332873,0.125812,0.0,-9999,-9999,0.350839,0.350839,0.353727,0.360044,0.360044,0.360044,0.360044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0342118,-0.0332873,-0.0332873,-0.0332873,-0.0332873,-0.0332873,-0.0332873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0698421,0.0711135,0.0667484,0.00183419,0.0495947,0.056377,0.0587701,0.0697076,0.0718494,0.0730062,0.0752981,-0.148713,-0.149449,-0.151195,0.0015811,-0.164475,-0.159858,-0.155797,-0.150721,-0.148713,-0.146058,-0.140312,0.124278,0.124273,0.484644,0.0755943,0.0750511,0.124273,0.124278,0.124278,1.08815,1.10005,1.10312,0.0,0.0,0.196405,0.03813,0.0,0.0,0.0,0.0,0.494806,0.501678,0.503448,-9999,-9999
20020102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-16.364,-17.023,2.827,-15.266,2.827,-16.364,0.0,-17.023,2.827,0.0,-15.266,2.827,0.0,113.949,102.092,0.666667,63.133,62.888,0.666667,-9999,-9999,169.295,169.295,0.0,-9999,-9999,144.472,144.472,0.0,-9999,-9999,0.0,0.0,0.0,98.257,98.257,0.0,0.0,0.0,0.0,2.023,2.023,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,19.2527,0.0,-9999,-9999,-9999,-9999,-9999,53.7573,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,0.371675,0.0,-9999,-9999,0.371675,0.0,-9999,-9999,0.391882,0.0,0.00533392,0.370536,0.371675,0.371675,0.371675,0.382207,0.451723,0.451723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.593034,0.853422,0.0,-9999,-9999,-0.0332873,0.125812,0.0,-9999,-9999,0.593034,0.853422,0.0,-9999,-9999,-0.0332873,0.125812,0.0,-9999,-9999,0.591278,0.593034,0.593034,0.593034,0.609273,0.716454,0.716454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0342118,-0.0332873,-0.0332873,-0.0332873,-0.0332873,-0.0332873,-0.0332873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0514325,0.0525458,0.0489755,0.00161072,0.0343115,0.0400212,0.0420372,0.0513151,0.0531922,0.054211,0.0562396,-0.318483,-0.319129,-0.342906,0.00608559,-0.412525,-0.408152,-0.390188,-0.322937,-0.319014,-0.317464,-0.315435,0.109695,0.109691,0.426897,0.0668522,0.0441518,0.109691,0.109695,0.109695,0.960465,0.970972,0.973678,0.0,0.0,0.202406,0.0392443,0.0,0.0,0.0,0.0,0.509259,0.516242,0.51804,-9999,-9999
20020103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-11.818,-11.969,4.227,-11.566,3.516,-11.818,0.0,-11.969,4.227,0.0,-11.566,3.516,0.0,114.624,61.995,0.666667,61.259,61.056,0.666667,-9999,-9999,203.461,203.461,0.0,-9999,-9999,184.52,184.52,0.0,-9999,-9999,0.095,0.095,0.0,97.237,97.237,0.0,0.0,0.0,0.0,2.805,2.805,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,16.4271,0.0,-9999,-9999,-9999,-9999,-9999,18.3738,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,0.442155,0.0,-9999,-9999,0.442155,0.0,-9999,-9999,0.438519,0.0,0.00222176,0.436989,0.436989,0.436989,0.442155,0.442155,0.442155,0.442191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.493374,0.381821,0.0,-9999,-9999,0.313928,0.247133,0.0,-9999,-9999,0.493374,0.381821,0.0,-9999,-9999,0.313928,0.247133,0.0,-9999,-9999,0.485408,0.485408,0.485408,0.493374,0.493374,0.493374,0.493429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.313928,0.313928,0.313928,0.313928,0.313928,0.313928,0.313928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0929123,0.094213,0.0893998,0.00190129,0.0715588,0.0785804,0.0813117,0.0927746,0.0949639,0.0961418,0.0984661,-0.347191,-0.347942,-0.349119,0.00217207,-0.364903,-0.360518,-0.355312,-0.349243,-0.347191,-0.344492,-0.329982,0.136897,0.136891,0.536089,0.0829662,0.136891,0.136891,0.136897,0.136897,1.19864,1.21175,1.21513,0.0,0.0,0.199862,0.0387664,0.0,0.0,0.0,0.0,0.503058,0.509991,0.511777,-9999,-9999
20020104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-7.449,-7.472,1.102,-7.411,2.394,-7.449,0.0,-7.472,1.102,0.0,-7.411,2.394,0.0,115.358,138.258,0.666667,58.344,58.215,0.666667,-9999,-9999,237.303,237.303,0.0,-9999,-9999,224.188,224.188,0.0,-9999,-9999,0.09,0.09,0.0,96.452,96.452,0.0,0.069,0.069,0.0,1.877,1.877,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,18.0201,0.0,-9999,-9999,-9999,-9999,-9999,55.3037,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,0.220563,0.0,-9999,-9999,0.220563,0.0,-9999,-9999,0.217944,0.0,0.000944567,0.214593,0.214593,0.216466,0.220563,0.220563,0.220563,0.220563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.360044,0.150948,0.0,-9999,-9999,-0.0332873,0.125812,0.0,-9999,-9999,0.360044,0.150948,0.0,-9999,-9999,-0.0332873,0.125812,0.0,-9999,-9999,0.350839,0.350839,0.353727,0.360044,0.360044,0.360044,0.360044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0342118,-0.0332873,-0.0332873,-0.0332873,-0.0332873,-0.0332873,-0.0332873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138414,0.139785,0.13405,0.0020618,0.114683,0.122247,0.125823,0.138268,0.140574,0.141805,0.144217,-0.079989,-0.0807773,-0.0838939,0.00167426,-0.0988452,-0.0944083,-0.0897522,-0.0822944,-0.079989,-0.0787578,-0.0728431,0.162229,0.162222,0.63925,0.0978478,0.162222,0.162222,0.162229,0.162229,1.42044,1.43598,1.43998,0.0,0.0,0.194236,0.0376933,0.0,0.0,0.0,0.0,0.489129,0.49592,0.497669,-9999,-9999
20020105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-4.762,-5.614,2.426,-3.343,2.213,-4.762,0.0,-5.614,2.426,0.0,-3.343,2.213,0.0,116.149,102.092,0.666667,46.447,46.344,0.666667,-9999,-9999,267.454,267.454,0.0,-9999,-9999,259.53,259.53,0.0,-9999,-9999,0.173,0.173,0.0,96.589,96.589,0.0,0.119,0.119,0.0,2.105,2.105,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,19.2527,0.0,-9999,-9999,-9999,-9999,-9999,53.7573,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,0.371675,0.0,-9999,-9999,0.371675,0.0,-9999,-9999,0.391882,0.0,0.00533392,0.370536,0.371675,0.371675,0.371675,0.382207,0.451723,0.451723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.593034,0.853422,0.0,-9999,-9999,-0.0332873,0.125812,0.0,-9999,-9999,0.593034,0.853422,0.0,-9999,-9999,-0.0332873,0.125812,0.0,-9999,-9999,0.591278,0.593034,0.593034,0.593034,0.609273,0.716454,0.716454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0342118,-0.0332873,-0.0332873,-0.0332873,-0.0332873,-0.0332873,-0.0332873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.173767,0.174965,0.169367,0.00190822,0.152512,0.158667,0.161852,0.173639,0.175525,0.176724,0.178816,-0.196023,-0.19671,-0.222515,0.0063844,-0.29479,-0.289408,-0.276197,-0.200885,-0.196587,-0.194951,-0.192859,0.176345,0.176338,0.699995,0.105871,0.176338,0.176338,0.176345,0.176345,1.54404,1.56093,1.56528,0.0,0.0,0.181095,0.0352771,0.0,0.0,0.0,0.0,0.457751,0.464321,0.466013,-9999,-9999
20020106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-12.319,-12.615,4.442,-11.824,0.267,-12.319,0.0,-12.615,4.442,0.0,-11.824,0.267,0.0,117.0,61.995,0.666667,55.622,55.332,0.666667,-9999,-9999,207.692,207.692,0.0,-9999,-9999,189.48,189.48,0.0,-9999,-9999,0.002,0.002,0.0,97.485,97.485,0.0,0.209,0.209,0.0,2.323,2.323,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,16.4271,0.0,-9999,-9999,-9999,-9999,-9999,18.3738,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,0.442155,0.0,-9999,-9999,0.442155,0.0,-9999,-9999,0.438519,0.0,0.00222176,0.436989,0.436989,0.436989,0.442155,0.442155,0.442155,0.442191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.493374,0.381821,0.0,-9999,-9999,0.313928,0.247133,0.0,-9999,-9999,0.493374,0.381821,0.0,-9999,-9999,0.313928,0.247133,0.0,-9999,-9999,0.485408,0.485408,0.485408,0.493374,0.493374,0.493374,0.493429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.313928,0.313928,0.313928,0.313928,0.313928,0.313928,0.313928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0871251,0.0884339,0.0836764,0.0019037,0.0657635,0.0728436,0.0754875,0.0869865,0.08919,0.0903764,0.092719,-0.352965,-0.353721,-0.354843,0.00219144,-0.370638,-0.366364,-0.361157,-0.35503,-0.352965,-0.350245,-0.33558,0.134105,0.1341,0.524512,0.0813592,0.120038,0.1341,0.134105,0.134105,1.1742,1.18704,1.19035,0.0,0.0,0.194343,0.0377595,0.0,0.0,0.0,0.0,0.49,0.496847,0.498611,-9999,-9999
20020107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-11.352,-12.015,6.398,-10.248,3.982,-11.352,0.0,-12.015,6.398,0.0,-10.248,3.982,0.0,117.908,138.258,0.666667,68.562,68.214,0.666667,-9999,-9999,198.456,198.456,0.0,-9999,-9999,178.654,178.654,0.0,-9999,-9999,0.188,0.188,0.0,96.853,96.853,0.0,0.0,0.0,0.0,2.803,2.803,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,18.0201,0.0,-9999,-9999,-9999,-9999,-9999,55.3037,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,0.220563,0.0,-9999,-9999,0.220563,0.0,-9999,-9999,0.217944,0.0,0.000944567,0.214593,0.214593,0.216466,0.220563,0.220563,0.220563,0.220563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.360044,0.150948,0.0,-9999,-9999,-0.0332873,0.125812,0.0,-9999,-9999,0.360044,0.150948,0.0,-9999,-9999,-0.0332873,0.125812,0.0,-9999,-9999,0.350839,0.350839,0.353727,0.360044,0.360044,0.360044,0.360044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0342118,-0.0332873,-0.0332873,-0.0332873,-0.0332873,-0.0332873,-0.0332873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10199,0.103205,0.0985489,0.00180451,0.0819034,0.0883301,0.0911184,0.101861,0.103906,0.105005,0.107173,-0.116657,-0.117358,-0.119395,0.00149442,-0.132524,-0.127901,-0.124354,-0.118573,-0.116657,-0.115241,-0.109154,0.138923,0.138917,0.54564,0.0839934,0.138917,0.138917,0.138923,0.138923,1.21638,1.22968,1.23311,0.0,0.0,0.208179,0.0403107,0.0,0.0,0.0,0.0,0.523072,0.530157,0.531982,-9999,-9999
20020108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.129,-0.798,3.902,0.986,3.603,-0.129,0.0,-0.798,3.902,0.0,0.986,3.603,0.0,118.874,102.092,0.666667,56.889,56.644,0.666667,-9999,-9999,267.294,267.294,0.0,-9999,-9999,259.343,259.343,0.0,-9999,-9999,0.64,0.64,0.0,95.495,95.495,0.0,0.486,0.486,0.0,2.805,2.805,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,19.2527,0.0,-9999,-9999,-9999,-9999,-9999,53.7573,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,0.371675,0.0,-9999,-9999,0.371675,0.0,-9999,-9999,0.391882,0.0,0.00533392,0.370536,0.371675,0.371675,0.371675,0.382207,0.451723,0.451723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.593034,0.853422,0.0,-9999,-9999,-0.0332873,0.125812,0.0,-9999,-9999,0.593034,0.853422,0.0,-9999,-9999,-0.0332873,0.125812,0.0,-9999,-9999,0.591278,0.593034,0.593034,0.593034,0.609273,0.716454,0.716454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0342118,-0.0332873,-0.0332873,-0.0332873,-0.0332873,-0.0332873,-0.0332873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24099,0.241622,0.237295,0.00137883,0.228626,0.230495,0.231748,0.239414,0.241687,0.242548,0.243645,-0.129691,-0.130053,-0.154587,0.00614285,-0.222991,-0.219975,-0.213011,-0.132261,-0.129988,-0.129127,-0.12803,0.198974,0.198966,0.802703,0.118746,0.198966,0.198966,0.198974,0.198974,1.74218,1.76123,1.76614,0.0,0.0,0.195858,0.0380395,0.0,0.0,0.0,0.0,0.493632,0.500515,0.502288,-9999,-9999
20020109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.91,1.247,0.566,3.015,1.094,1.91,0.0,1.247,0.566,0.0,3.015,1.094,0.0,119.899,61.995,0.666667,65.202,64.927,0.666667,-9999,-9999,277.724,277.724,0.0,-9999,-9999,271.569,271.569,0.0,-9999,-9999,0.7,0.7,0.0,95.577,95.577,0.0,0.833,0.833,0.0,3.416,3.416,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,16.4271,0.0,-9999,-9999,-9999,-9999,-9999,18.3738,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,0.442155,0.0,-9999,-9999,0.442155,0.0,-9999,-9999,0.438519,0.0,0.00222176,0.436989,0.436989,0.436989,0.442155,0.442155,0.442155,0.442191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.493374,0.381821,0.0,-9999,-9999,0.313928,0.247133,0.0,-9999,-9999,0.493374,0.381821,0.0,-9999,-9999,0.313928,0.247133,0.0,-9999,-9999,0.485408,0.485408,0.485408,0.493374,0.493374,0.493374,0.493429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.313928,0.313928,0.313928,0.313928,0.313928,0.313928,0.313928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.270322,0.270726,0.26686,0.00122317,0.259823,0.26142,0.261935,0.269306,0.270767,0.271315,0.272008,-0.171198,-0.171429,-0.171659,0.00137544,-0.180292,-0.177009,-0.175133,-0.171518,-0.171182,-0.170625,-0.166386,0.209071,0.209062,0.84793,0.124694,0.209062,0.209062,0.209071,0.209071,1.83058,1.8506,1.85576,0.0,0.0,0.204016,0.0395343,0.0,0.0,0.0,0.0,0.513011,0.520021,0.521826,-9999,-9999
20020110,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.429,-1.83,1.844,-0.818,0.304,-1.429,0.0,-1.83,1.844,0.0,-0.818,0.304,0.0,120.981,138.258,0.645833,14.704,14.704,0.645833,-9999,-9999,300.163,300.163,0.0,-9999,-9999,297.87,297.87,0.0,-9999,-9999,0.063,0.063,0.0,96.714,96.714,0.0,0.633,0.633,0.0,2.57,2.57,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,18.0201,0.0,-9999,-9999,-9999,-9999,-9999,55.3037,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29,19,0,0,0.220563,0.0,-9999,-9999,0.220563,0.0,-9999,-9999,0.217944,0.0,0.000944567,0.214593,0.214593,0.216466,0.220563,0.220563,0.220563,0.220563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357059,0.152716,0.0,-9999,-9999,-0.00803067,0.164528,0.0,-9999,-9999,0.357059,0.152716,0.0,-9999,-9999,-0.00803067,0.164528,0.0,-9999,-9999,0.347538,0.347538,0.350525,0.357059,0.357059,0.357059,0.357059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0089065,-0.00803067,-0.00803067,-0.00803067,-0.00803067,-0.00803067,-0.00803067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.219837,0.220735,0.215625,0.00164021,0.203358,0.206989,0.209276,0.219212,0.220827,0.222048,0.223601,0.000686455,0.000172695,-0.00231885,0.00112282,-0.0136721,-0.00948201,-0.00729023,-0.000820927,0.000686455,0.00148539,0.00461915,0.193307,0.193299,0.774576,0.115567,0.193299,0.193299,0.193307,0.193307,1.69255,1.71107,1.71584,0.0,0.0,0.112933,0.0223837,0.0,0.0,0.0,0.0,0.289654,0.294765,0.296083,-9999,-9999
20020111,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.341,-4.309,1.682,-1.863,2.484,-3.341,0.0,-4.309,1.682,0.0,-1.863,2.484,0.0,122.12,102.092,0.645833,72.274,72.274,0.645833,-9999,-9999,238.33,238.33,0.0,-9999,-9999,225.392,225.392,0.0,-9999,-9999,0.215,0.215,0.0,96.739,96.739,0.0,0.0,0.0,0.0,2.053,2.053,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,19.2527,0.0,-9999,-9999,-9999,-9999,-9999,53.7573,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29,19,0,0,0.371675,0.0,-9999,-9999,0.371675,0.0,-9999,-9999,0.391882,0.0,0.00533392,0.370536,0.371675,0.371675,0.371675,0.382207,0.451723,0.451723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.598084,0.868071,0.0,-9999,-9999,-0.00803067,0.164528,0.0,-9999,-9999,0.598084,0.868071,0.0,-9999,-9999,-0.00803067,0.164528,0.0,-9999,-9999,0.596267,0.598084,0.598084,0.598084,0.614883,0.72576,0.72576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0089065,-0.00803067,-0.00803067,-0.00803067,-0.00803067,-0.00803067,-0.00803067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192985,0.19407,0.188624,0.00180782,0.173463,0.178679,0.181583,0.192869,0.194181,0.195662,0.19755,-0.176982,-0.177605,-0.203257,0.00634393,-0.274847,-0.269906,-0.257917,-0.181394,-0.177493,-0.176013,-0.174125,0.18368,0.183672,0.731959,0.110055,0.183672,0.183672,0.18368,0.18368,1.60826,1.62585,1.63038,0.0,0.0,0.217052,0.0420204,0.0,0.0,0.0,0.0,0.54525,0.552659,0.554567,-9999,-9999
20020112,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.088,-3.71,1.415,-2.14,0.447,-3.088,0.0,-3.71,1.415,0.0,-2.14,0.447,0.0,123.316,61.995,0.645833,53.208,53.208,0.645833,-9999,-9999,258.911,258.911,0.0,-9999,-9999,249.516,249.516,0.0,-9999,-9999,0.454,0.454,0.0,96.302,96.302,0.0,1.335,1.335,0.0,3.13,3.13,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,16.4271,0.0,-9999,-9999,-9999,-9999,-9999,18.3738,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29,19,0,0,0.442155,0.0,-9999,-9999,0.442155,0.0,-9999,-9999,0.438519,0.0,0.00222176,0.436989,0.436989,0.436989,0.442155,0.442155,0.442155,0.442191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.459216,0.338735,0.0,-9999,-9999,0.375508,0.360182,0.0,-9999,-9999,0.459216,0.338735,0.0,-9999,-9999,0.375508,0.360182,0.0,-9999,-9999,0.450975,0.450975,0.450975,0.459216,0.459216,0.459216,0.459273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375508,0.375508,0.375508,0.375508,0.375508,0.375508,0.375508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195903,0.196991,0.191483,0.00181788,0.176218,0.181485,0.184438,0.195787,0.197102,0.198584,0.200474,-0.244541,-0.245165,-0.247035,0.00180303,-0.261926,-0.25733,-0.253019,-0.246252,-0.244541,-0.24233,-0.231161,0.185124,0.185117,0.737791,0.110915,0.185116,0.185117,0.185124,0.185124,1.62091,1.63864,1.6432,0.0,0.0,0.197842,0.0384975,0.0,0.0,0.0,0.0,0.499561,0.506663,0.508493,-9999,-9999
