TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
20040101,-6.786,1.0,-9.107,3.899,1.0,-3.801,5.318,1.0,-8.742,-11.076,1.878,-5.741,3.31,-6.786,1.0,-9.107,3.899,1.0,-3.801,5.318,1.0,229.222,179.983,1.0,164.722,179.983,1.0,165.992,1.0,152.869,165.992,1.0,171.157,1.0,159.617,171.157,1.0,2.794,1.0,3.225,2.794,1.0,59.837,59.837,0.0,0.0,0.0,1.0,3.192,2.664,1.0,-9999,0.0,-2.84680434783,0.958333333333,-9999,-9999,-5.069,1.0,5.3,1.0,-9999,1.0,7.467,0.0,-9999,-9999,-9999,1.57666,-9999,25.4128,0.0,-9999,-9999,-9999,2.92448,-9999,-9999,-9999,27,21,27,21,0.0232669,0.0,0.0285122,0.0292052,0.0232669,0.0,0.0285122,0.0292052,0.0289435,0.0,0.0010658,0.0220868,0.0232669,0.0240451,0.0263641,0.031266,0.0359157,0.0428109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0730948,0.0436121,0.0,0.0366342,0.0384396,-0.0427309,0.348667,0.0,0.0415393,0.0416916,0.0730948,0.0436121,0.0,0.0366342,0.0384396,-0.0427309,0.348667,0.0,0.0415393,0.0416916,0.0730907,0.0730948,0.0753291,0.0807518,0.086233,0.0963788,0.112877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0508312,-0.0490455,-0.0484554,-0.0427309,-0.0420038,-0.041925,-0.0410115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.080057,0.0843868,0.0889711,0.00246811,0.0775769,0.0787062,0.0799786,0.0807112,0.0870094,0.117307,0.118555,0.0530868,0.0611201,0.0600276,0.00264809,0.0371185,0.0439304,0.0514808,0.0563976,0.0637425,0.0863429,0.0879137,0.125605,0.139937,0.129613,0.00246816,0.0961972,0.0990933,0.125487,0.139937,0.139937,0.139937,0.139937,0.106957,0.104068,0.100595,0.00129021,0.0803362,0.0884031,0.102677,0.104068,0.104068,0.105551,0.106957,-9999,-9999
20040102,-7.502,1.0,-10.664,4.584,1.0,-3.764,6.482,1.0,-9.915,-13.67,1.996,-5.478,4.244,-7.502,1.0,-10.664,4.584,1.0,-3.764,6.482,1.0,229.817,160.867,1.0,167.537,160.867,1.0,150.775,1.0,148.32,150.775,1.0,166.29,1.0,154.99,166.29,1.0,2.941,1.0,3.083,2.941,1.0,59.746,59.746,0.0,0.0,0.0,1.0,3.736,3.028,0.979167,-9999,0.0,-8.13189583333,1.0,-9999,-9999,-5.162,1.0,5.3,1.0,-9999,1.0,9.01617,0.0,-9999,-9999,-9999,1.62922,-9999,20.5293,0.0,-9999,-9999,-9999,2.77184,-9999,-9999,-9999,26,22,26,22,0.066216,0.0,0.0285122,0.0331311,0.066216,0.0,0.0285122,0.0331311,0.0586284,0.0,0.00224826,0.0344995,0.0383002,0.0387101,0.066216,0.0683108,0.0720479,0.0732872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146758,0.129339,0.0,0.0373321,0.0481,-0.0342222,0.417111,0.0,0.0405843,0.0408053,0.146758,0.129339,0.0,0.0373321,0.0481,-0.0342222,0.417111,0.0,0.0405843,0.0408053,0.0948054,0.0953511,0.103059,0.146758,0.150477,0.156012,0.158216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0406436,-0.0406436,-0.0362537,-0.0333501,-0.0328965,-0.0321613,-0.0306546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769881,0.0822505,0.0862541,0.00232653,0.0749655,0.0761971,0.0778771,0.0786273,0.0866723,0.113004,0.114048,0.0410821,0.0160345,0.0276258,0.00222169,0.00681759,0.00915014,0.0108687,0.0274127,0.040871,0.0409748,0.0438945,0.121093,0.136064,0.12571,0.00244825,0.0929561,0.0954752,0.120973,0.136064,0.136064,0.136064,0.136064,0.0956788,0.0930929,0.0899864,0.00115423,0.0718637,0.0790804,0.0918512,0.093093,0.093093,0.0944205,0.0956788,-9999,-9999
20040103,-7.397,1.0,-9.815,4.591,1.0,-4.538,5.065,1.0,-10.532,-13.516,0.901,-7.006,3.687,-7.397,1.0,-9.815,4.591,1.0,-4.538,5.065,1.0,230.467,184.556,1.0,168.913,184.556,1.0,155.654,1.0,141.108,155.654,1.0,158.679,1.0,147.653,158.679,1.0,2.987,1.0,2.945,2.987,1.0,59.735,59.735,0.0,0.0,0.0,1.0,3.081,2.622,1.0,-9999,0.0,9.05552083333,1.0,-9999,-9999,-5.043,1.0,5.6,1.0,-9999,1.0,8.1588,0.0,-9999,-9999,-9999,1.53944,-9999,23.9397,0.0,-9999,-9999,-9999,2.90925,-9999,-9999,-9999,26,22,26,22,0.0147935,0.0,0.028674,0.0333636,0.0147935,0.0,0.028674,0.0333636,0.00655038,0.0,0.00234963,-0.0223545,-0.0145666,-0.00824305,0.0139283,0.0157092,0.019547,0.0240357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151734,0.103169,0.0,0.0377223,0.0476104,-0.148218,0.532413,0.0,0.0405843,0.0407469,0.151734,0.103169,0.0,0.0377223,0.0476104,-0.148218,0.532413,0.0,0.0405843,0.0407469,0.0918001,0.102511,0.118446,0.150195,0.152175,0.160606,0.168592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.157312,-0.155491,-0.15444,-0.14871,-0.148218,-0.148218,-0.146815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769564,0.0795902,0.0848826,0.00247326,0.0743532,0.0753208,0.0754631,0.0758339,0.0810201,0.113539,0.114293,0.0825964,0.0647968,0.0783323,0.00223898,0.0589374,0.0616736,0.0647806,0.0812181,0.0903671,0.0939819,0.0976257,0.121754,0.137044,0.126253,0.00257573,0.0914265,0.0945729,0.121629,0.137043,0.137044,0.137044,0.137044,0.109677,0.106714,0.103153,0.00132302,0.0823788,0.0906509,0.105288,0.106714,0.106714,0.108235,0.109677,-9999,-9999
20040104,-8.015,1.0,-10.429,4.254,1.0,-5.161,6.069,1.0,-11.646,-14.944,1.12,-7.748,3.635,-8.015,1.0,-10.429,4.254,1.0,-5.161,6.069,1.0,231.17,149.565,1.0,167.825,149.565,1.0,150.113,1.0,137.41,150.113,1.0,159.738,1.0,143.892,159.738,1.0,2.935,1.0,2.843,2.935,1.0,59.764,59.764,0.0,0.0,0.0,1.0,3.824,2.903,0.916667,-9999,0.0,-15.4537708333,1.0,-9999,-9999,-4.795,1.0,5.4,1.0,-9999,1.0,7.0475,0.166667,-9999,-9999,-9999,1.25215,-9999,16.3816,0.166667,-9999,-9999,-9999,3.01362,-9999,-9999,-9999,26,22,26,22,0.0521986,0.0,0.0297621,0.0355347,0.0521986,0.0,0.0297621,0.0355347,0.0410054,0.0203125,0.00251164,0.00814756,0.0145508,0.0353116,0.0457898,0.0521986,0.0533801,0.0614447,0.0,0.0,0.0625,0.0625,0.0,0.0,0.0,0.184356,0.10866,0.0,0.0390807,0.0534051,-0.108128,0.504095,0.0,0.0422191,0.0424669,0.184356,0.10866,0.0,0.0390807,0.0534051,-0.108128,0.504095,0.0,0.0422191,0.0424669,0.115261,0.120697,0.154314,0.174129,0.184356,0.193492,0.198369,0.0,0.0,0.115385,0.0,0.0,0.0,0.0,-0.119087,-0.117291,-0.116441,-0.108128,-0.108128,-0.108128,-0.105248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0738676,0.0752938,0.0810666,0.00245526,0.0707004,0.0712193,0.0714252,0.0733308,0.0761919,0.109707,0.110004,0.0306213,0.0230953,0.0400614,0.00317253,0.00942297,0.0178582,0.0219812,0.0315419,0.0597489,0.063123,0.0664232,0.117821,0.134038,0.122843,0.00266459,0.0869277,0.09021,0.11769,0.134038,0.134038,0.134038,0.134038,0.0890132,0.0866064,0.0837166,0.00107386,0.0668562,0.0735704,0.0854527,0.0866064,0.0866064,0.0878419,0.0890132,-9999,-9999
20040105,-9.512,1.0,-12.41,3.972,1.0,-6.089,6.218,1.0,-8.833,-11.41,2.55,-5.788,3.791,-9.512,1.0,-12.41,3.972,1.0,-6.089,6.218,1.0,231.926,170.121,1.0,163.371,170.121,1.0,142.317,1.0,146.48,142.317,1.0,150.904,1.0,153.119,150.904,1.0,2.635,1.0,3.414,2.635,1.0,60.03,60.03,0.0,0.0,0.0,1.0,2.606,1.692,1.0,-9999,0.0,-7.18895833333,1.0,-9999,-9999,-5.836,1.0,5.3,1.0,-9999,1.0,7.97455,0.5625,-9999,-9999,-9999,1.09133,-9999,20.1485,0.520833,-9999,-9999,-9999,2.89925,-9999,-9999,-9999,26,22,26,22,0.0183166,0.416667,0.0292198,0.0354382,0.0183166,0.416667,0.0292198,0.0354382,0.0359226,0.402083,0.00282476,0.0102744,0.0122191,0.0183166,0.0327292,0.0490131,0.0523224,0.0628125,0.520833,0.458333,0.416667,0.5625,0.333333,0.25,0.333333,0.0762547,0.0459207,0.615385,0.0383618,0.0518026,-0.0516085,0.411502,0.181818,0.0414585,0.0414735,0.0762547,0.0459207,0.615385,0.0383618,0.0518026,-0.0516085,0.411502,0.181818,0.0414585,0.0414735,0.0618666,0.065407,0.0762547,0.100445,0.128974,0.135031,0.153693,0.807692,0.692308,0.615385,0.884615,0.461538,0.307692,0.461538,-0.0516085,-0.0516085,-0.051513,-0.0499132,-0.0495742,-0.049374,-0.0487636,0.181818,0.181818,0.181818,0.181818,0.181818,0.181818,0.181818,0.0662069,0.0642363,0.0714132,0.00245477,0.060498,0.0605406,0.0606469,0.0642305,0.0683842,0.0994022,0.100306,0.0159774,0.0459195,0.0354905,0.00429376,-0.00227188,0.00832257,0.0116013,0.0459138,0.0581096,0.0659417,0.0676125,0.108225,0.12684,0.114545,0.00291283,0.0755166,0.0792335,0.108077,0.12684,0.12684,0.12684,0.12684,0.101204,0.0984681,0.0951824,0.00122089,0.0760131,0.0836466,0.0971553,0.0984681,0.0984682,0.0998726,0.101204,-9999,-9999
20040106,-7.729,1.0,-10.632,5.181,1.0,-4.298,5.197,1.0,-10.246,-13.037,2.298,-6.947,4.257,-7.729,1.0,-10.632,5.181,1.0,-4.298,5.197,1.0,232.737,114.056,1.0,155.035,114.056,1.0,187.946,1.0,169.392,187.946,1.0,182.02,1.0,176.424,182.02,1.0,2.673,1.0,2.399,2.673,1.0,59.923,59.923,0.0,0.184,0.0,1.0,3.428,3.428,1.0,-9999,0.0,-8.99985416667,1.0,-9999,-9999,-5.61,1.0,5.1,1.0,-9999,1.0,5.6766,0.708333,-9999,-9999,-9999,0.980376,-9999,12.8475,0.6875,-9999,-9999,-9999,2.46265,-9999,-9999,-9999,26,22,26,22,0.0973688,0.5,0.0294621,0.0303795,0.0973688,0.5,0.0294621,0.0303795,0.103403,0.513021,0.00105322,0.0959641,0.0969448,0.0973688,0.101574,0.110137,0.111763,0.112006,0.5,0.5,0.5,0.5,0.583333,0.583333,0.583333,0.101338,0.062716,0.807692,0.0385354,0.0399834,0.084955,0.142301,0.136364,0.0419883,0.0421137,0.101338,0.062716,0.807692,0.0385354,0.0399834,0.084955,0.142301,0.136364,0.0419883,0.0421137,0.0989909,0.100557,0.101338,0.108072,0.121451,0.121883,0.121883,0.807692,0.807692,0.807692,0.807692,0.961538,0.961538,0.961538,0.0847756,0.084955,0.0849867,0.0858392,0.0875209,0.0914498,0.0914498,0.136364,0.136364,0.136364,0.136364,0.136364,0.136364,0.136364,0.0755671,0.0787563,0.0837116,0.00239872,0.0732297,0.0743498,0.0746897,0.0752501,0.0810305,0.11155,0.112232,-0.0283446,-0.0186125,-0.0196911,0.0027565,-0.0372547,-0.0367557,-0.0355171,-0.0217738,-0.0163383,0.00796412,0.00905356,0.119661,0.135221,0.124445,0.0025585,0.0900498,0.092991,0.119535,0.13522,0.135221,0.135221,0.135221,0.0680266,0.0661844,0.0639767,0.00082078,0.0510909,0.0562228,0.0653068,0.0661844,0.0661844,0.0671299,0.0680266,-9999,-9999
20040107,-7.092,1.0,-8.522,2.301,1.0,-5.402,3.657,1.0,-9.92,-11.042,2.141,-8.594,3.812,-7.092,1.0,-8.522,2.301,1.0,-5.402,3.657,1.0,233.599,173.765,1.0,161.835,173.765,1.0,167.931,1.0,163.394,167.931,1.0,170.96,1.0,170.324,170.96,1.0,2.537,1.0,2.281,2.537,1.0,59.943,59.943,0.0,0.175,0.0,1.0,2.002,2.796,1.0,-9999,-9999,5.36289583333,1.0,-9999,-9999,-3.671,1.0,5.9,1.0,-9999,1.0,7.63902,0.875,-9999,-9999,-9999,1.06917,-9999,24.2603,0.854167,-9999,-9999,-9999,2.75147,-9999,-9999,-9999,26,22,26,22,-0.151938,0.625,0.0292725,0.0302114,-0.151938,0.625,0.0292725,0.0302114,-0.142293,0.594271,0.00164359,-0.15267,-0.151938,-0.150416,-0.145843,-0.138112,-0.136992,-0.116379,0.625,0.625,0.625,0.625,0.625,0.5625,0.416667,0.0543711,0.0182974,1.0,0.038668,0.040572,-0.383708,0.698089,0.181818,0.0412249,0.0412422,0.0543711,0.0182974,1.0,0.038668,0.040572,-0.383708,0.698089,0.181818,0.0412249,0.0412422,0.0530697,0.0543711,0.0570799,0.0652161,0.0779167,0.0789376,0.116294,1.0,1.0,1.0,1.0,1.0,0.884615,0.615385,-0.383708,-0.383708,-0.383708,-0.383708,-0.38224,-0.381316,-0.381316,0.181818,0.181818,0.181818,0.181818,0.181818,0.181818,0.181818,0.0774613,0.0768248,0.0838026,0.00269971,0.0721942,0.0723128,0.0725153,0.0766474,0.0795228,0.11506,0.115433,0.220541,0.228763,0.226096,0.00314765,0.188692,0.209186,0.209453,0.228755,0.230131,0.253364,0.255522,0.123496,0.139192,0.127796,0.0027543,0.0900908,0.094056,0.123363,0.139192,0.139192,0.139192,0.139192,0.103299,0.100508,0.0971543,0.00124612,0.0775883,0.0853796,0.0991665,0.100508,0.100509,0.101941,0.103299,-9999,-9999
20040108,-8.243,1.0,-9.9,1.618,1.0,-6.285,2.355,1.0,-11.047,-12.213,1.808,-9.669,3.073,-8.243,1.0,-9.9,1.618,1.0,-6.285,2.355,1.0,234.514,129.032,1.0,150.371,129.032,1.0,204.302,1.0,169.988,204.302,1.0,186.932,1.0,177.031,186.932,1.0,2.096,1.0,2.188,2.096,1.0,59.854,59.854,0.0,0.258,0.0,1.0,1.876,2.488,1.0,-9999,0.0,11.6535416667,1.0,-9999,-9999,-3.861,1.0,5.5,1.0,-9999,1.0,6.96464,0.9375,-9999,-9999,-9999,1.04974,-9999,18.1657,0.9375,-9999,-9999,-9999,2.36294,-9999,-9999,-9999,26,22,26,22,-0.0597575,0.666667,0.029944,0.0312376,-0.0597575,0.666667,0.029944,0.0312376,-0.0471287,0.613021,0.0022526,-0.0598103,-0.0597575,-0.0567597,-0.0516399,-0.0438757,-0.0419652,-0.00985301,0.666667,0.666667,0.666667,0.666667,0.541667,0.666667,0.333333,0.0464539,0.0121586,1.0,0.0391924,0.041863,-0.18054,0.546257,0.272727,0.0426409,0.0426542,0.0464539,0.0121586,1.0,0.0391924,0.041863,-0.18054,0.546257,0.272727,0.0426409,0.0426542,0.0464539,0.0464539,0.0516102,0.0599618,0.0735762,0.0758798,0.129261,1.0,1.0,1.0,1.0,1.0,1.0,0.423077,-0.181538,-0.180671,-0.18054,-0.179723,-0.179,-0.178538,-0.173479,0.272727,0.272727,0.272727,0.272727,0.272727,0.272727,0.227273,0.0709398,0.0657914,0.0748129,0.00283148,0.0607903,0.0612049,0.0618288,0.0657651,0.0733517,0.10663,0.107536,0.11891,0.125549,0.121942,0.00369968,0.071058,0.104666,0.105589,0.125523,0.132425,0.149078,0.152539,0.115918,0.133998,0.121303,0.00306647,0.0793694,0.0841003,0.115766,0.133998,0.133998,0.133998,0.133998,0.0768303,0.0747522,0.0722581,0.000926911,0.0577051,0.0635006,0.0737575,0.0747522,0.0747522,0.075819,0.0768303,-9999,-9999
20040109,-9.511,1.0,-11.128,4.342,1.0,-7.599,4.141,1.0,-11.877,-13.829,4.32,-9.57,5.078,-9.511,1.0,-11.128,4.342,1.0,-7.599,4.141,1.0,235.481,154.249,1.0,166.404,154.249,1.0,183.513,1.0,153.04,183.513,1.0,171.113,1.0,159.792,171.113,1.0,1.794,1.0,2.466,1.794,1.0,60.025,60.025,0.0,0.0,0.0,1.0,1.979,1.789,1.0,-9999,0.0,15.8208541667,1.0,-9999,-9999,-4.597,1.0,5.4,1.0,-9999,1.0,8.76114,0.729167,-9999,-9999,-9999,1.11835,-9999,17.7891,0.729167,-9999,-9999,-9999,2.45577,-9999,-9999,-9999,26,22,26,22,0.0587867,0.604167,0.0295565,0.030124,0.0587867,0.604167,0.0295565,0.030124,0.0634783,0.609375,0.000787822,0.0575061,0.0581012,0.0587867,0.0619314,0.0666753,0.0697413,0.070481,0.604167,0.604167,0.604167,0.604167,0.604167,0.645833,0.583333,0.0675268,0.0282824,0.923077,0.0387634,0.0391118,0.0437947,0.102519,0.227273,0.0419883,0.042725,0.0675268,0.0282824,0.923077,0.0387634,0.0391118,0.0437947,0.102519,0.227273,0.0419883,0.042725,0.0655264,0.0665259,0.0675268,0.072875,0.0742422,0.0769439,0.0878793,0.923077,0.923077,0.923077,0.923077,0.923077,0.923077,0.884615,0.0434664,0.0435365,0.0437321,0.0440859,0.0443291,0.0593363,0.0593363,0.227273,0.227273,0.227273,0.227273,0.227273,0.227273,0.227273,0.0652479,0.0599073,0.0687659,0.00267711,0.0554384,0.0557829,0.0563134,0.0598844,0.0680968,0.0984417,0.099909,-0.00307638,0.00112063,0.00528755,0.00290942,-0.014698,-0.0141676,-0.013527,0.00109776,0.0105908,0.0328024,0.0358889,0.107994,0.127434,0.114404,0.00311312,0.0723175,0.0768023,0.107836,0.127433,0.127434,0.127434,0.127434,0.0918812,0.0893954,0.0864128,0.00110852,0.0690088,0.0759398,0.0882067,0.0893954,0.0893954,0.0906714,0.0918812,-9999,-9999
20040110,-8.184,1.0,-10.466,3.679,1.0,-5.488,5.336,1.0,-10.438,-12.518,4.499,-7.98,5.263,-8.184,1.0,-10.466,3.679,1.0,-5.488,5.336,1.0,236.498,179.279,1.0,169.661,179.279,1.0,158.527,1.0,153.157,158.527,1.0,161.743,1.0,159.911,161.743,1.0,2.47,1.0,2.816,2.47,1.0,60.264,60.264,0.0,0.0,0.0,1.0,1.86,1.644,1.0,-9999,0.0,2.26229166667,1.0,-9999,-9999,-3.977,1.0,5.8,1.0,-9999,1.0,7.88234,0.895833,-9999,-9999,-9999,1.09527,-9999,24.6072,0.916667,-9999,-9999,-9999,2.71685,-9999,-9999,-9999,26,22,26,22,-0.053652,0.604167,0.0299519,0.0305865,-0.053652,0.604167,0.0299519,0.0305865,-0.0518229,0.609375,0.000995995,-0.060003,-0.0572404,-0.0572257,-0.053652,-0.048687,-0.0448434,-0.0400668,0.645833,0.604167,0.645833,0.604167,0.604167,0.604167,0.583333,0.0902947,0.0539453,0.923077,0.0392801,0.0411409,-0.219515,0.632296,0.227273,0.0425524,0.0425971,0.0902947,0.0539453,0.923077,0.0392801,0.0411409,-0.219515,0.632296,0.227273,0.0425524,0.0425971,0.0757307,0.0806716,0.0839442,0.0902947,0.0988813,0.105137,0.114011,1.0,1.0,0.923077,0.923077,0.923077,0.923077,0.884615,-0.219625,-0.219555,-0.219515,-0.219224,-0.218537,-0.215656,-0.215656,0.227273,0.227273,0.227273,0.227273,0.227273,0.227273,0.227273,0.0724809,0.0718778,0.0786387,0.00254814,0.0678211,0.0678385,0.0678921,0.0718745,0.0745461,0.108282,0.108407,0.117013,0.12553,0.130461,0.00247857,0.107905,0.11687,0.116943,0.12623,0.131786,0.152033,0.158991,0.116581,0.133513,0.121814,0.00279533,0.0839939,0.0876992,0.116443,0.133513,0.133513,0.133513,0.133513,0.106616,0.103735,0.100273,0.00128615,0.0800786,0.0881202,0.102351,0.103735,0.103735,0.105214,0.106616,-9999,-9999
20040111,-7.614,1.0,-10.5,3.074,1.0,-4.205,5.485,1.0,-8.555,-10.254,4.202,-6.549,5.262,-7.614,1.0,-10.5,3.074,1.0,-4.205,5.485,1.0,237.566,178.29,1.0,162.275,178.29,1.0,156.204,1.0,167.121,156.204,1.0,159.879,1.0,174.115,159.879,1.0,2.8,1.0,3.282,2.8,1.0,60.141,60.141,0.0,0.0,0.0,1.0,1.227,1.369,1.0,-9999,0.0,0.890416666667,1.0,-9999,-9999,-3.853,1.0,5.9,1.0,-9999,1.0,5.56921,0.958333,-9999,-9999,-9999,1.31678,-9999,25.6102,0.9375,-9999,-9999,-9999,2.91774,-9999,-9999,-9999,26,22,26,22,0.00951559,0.6875,0.0302439,0.0311439,0.00951559,0.6875,0.0302439,0.0311439,0.0118948,0.698438,0.00217053,-0.00318173,0.00284797,0.00379894,0.00951559,0.017714,0.017714,0.0475894,0.6875,0.6875,0.75,0.6875,0.6875,0.6875,0.6875,0.130975,0.0624693,0.884615,0.0392801,0.0413462,-0.134782,0.504293,0.454545,0.043456,0.0434763,0.130975,0.0624693,0.884615,0.0392801,0.0413462,-0.134782,0.504293,0.454545,0.043456,0.0434763,0.109122,0.119314,0.119582,0.130975,0.145127,0.145127,0.197557,0.884615,1.0,0.884615,0.884615,0.884615,0.884615,0.884615,-0.136307,-0.135674,-0.135547,-0.134782,-0.13427,-0.13302,-0.132026,0.454545,0.454545,0.454545,0.454545,0.454545,0.454545,0.454545,0.0755972,0.0773653,0.0830659,0.0024866,0.0725426,0.0731906,0.0734344,0.0747534,0.0785133,0.112001,0.112467,0.0548288,0.0678498,0.0711713,0.00369543,0.0256015,0.0550277,0.0558425,0.0689979,0.0806833,0.100132,0.108166,0.120227,0.136075,0.124982,0.00264782,0.0891946,0.0924861,0.120097,0.136075,0.136075,0.136075,0.136075,0.106038,0.103173,0.0997297,0.0012792,0.0796447,0.0876427,0.101796,0.103173,0.103173,0.104644,0.106038,-9999,-9999
