TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
20130101,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.606,2.789,2.064,7.149,3.618,4.606,0.0,2.789,2.064,0.0,7.149,3.618,0.0,174.495,282.142,0.625,119.313,119.131,0.625,-9999,-9999,253.874,253.874,0.0,-9999,-9999,269.926,269.926,0.0,-9999,-9999,2.651,2.651,0.0,102.607,102.607,0.0,0.0,0.0,0.0,2.293,2.293,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,124.63,0.0,114.407,-9999,-9999,-9999,-9999,17.1001,0.0,15.6975,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,-7.66909,0.0,-9999,-9999,-7.75296,0.0,-9999,-9999,-7.72294,0.0,0.075304,-8.22169,-8.22169,-8.22169,-7.83639,-7.39841,-7.24382,-6.84752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.02404,5.23155,0.0,-9999,-9999,-21.9704,4.07079,0.0,-9999,-9999,2.8855,5.36172,0.0,-9999,-9999,-21.9704,4.07079,0.0,-9999,-9999,2.74592,2.74592,2.74592,2.96419,3.02404,3.05235,3.06472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.859,-22.859,-22.859,-22.1633,-21.3258,-21.036,-20.1099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.88098,4.89026,4.83097,0.0129235,4.71464,4.73305,4.76418,4.82419,4.86901,4.9224,4.92812,12.7281,12.6432,12.5539,0.0721574,11.591,12.0246,12.1873,12.5972,12.9547,13.0283,13.0602,3.18411,3.16356,2.82788,0.0953542,2.04121,2.04281,2.10424,3.18411,3.2685,3.39597,3.42364,7.38097,7.41571,6.49719,0.173336,5.07567,5.08092,5.11988,7.1469,7.39574,7.40733,7.42037,-9999,-9999
20130102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.641,2.459,3.295,7.694,4.11,4.641,0.0,2.459,3.295,0.0,7.694,4.11,0.0,175.119,280.042,0.625,122.651,122.434,0.625,-9999,-9999,249.034,249.034,0.0,-9999,-9999,264.028,264.028,0.0,-9999,-9999,2.834,2.834,0.0,102.43,102.43,0.0,0.0,0.0,0.0,2.28,2.28,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,121.645,0.0,110.082,-9999,-9999,-9999,-9999,7.74575,0.0,7.00947,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,-7.60806,0.0,-9999,-9999,-7.62946,0.0,-9999,-9999,-7.68334,0.0,0.0210843,-7.81899,-7.81899,-7.81899,-7.6901,-7.60806,-7.58741,-7.52229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07715,5.48499,0.0,-9999,-9999,-21.9036,4.67118,0.0,-9999,-9999,3.0418,5.46473,0.0,-9999,-9999,-21.9036,4.67118,0.0,-9999,-9999,2.88468,2.91131,2.93162,3.02116,3.0418,3.07715,3.12765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.313,-22.313,-22.313,-21.9697,-21.7548,-21.6941,-21.5665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.88606,4.89516,4.83771,0.0127186,4.72267,4.74067,4.77278,4.83155,4.87566,4.92725,4.93285,12.5546,12.5246,12.5211,0.0178981,12.2722,12.4163,12.4608,12.5409,12.596,12.636,12.6641,3.25615,3.23805,2.88532,0.0976675,2.07999,2.08193,2.14092,3.25615,3.33933,3.4604,3.48871,7.5255,7.56019,6.63186,0.175418,5.19247,5.19775,5.23732,7.30345,7.53762,7.54823,7.56509,-9999,-9999
20130103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.801,2.626,2.616,7.847,4.079,4.801,0.0,2.626,2.616,0.0,7.847,4.079,0.0,175.802,282.474,0.625,122.579,122.342,0.625,-9999,-9999,253.114,253.114,0.0,-9999,-9999,269.0,269.0,0.0,-9999,-9999,2.495,2.495,0.0,102.45,102.45,0.0,0.0,0.0,0.0,2.383,2.383,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,122.705,0.0,109.8,-9999,-9999,-9999,-9999,1.96785,0.0,1.76089,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,-7.20141,0.0,-9999,-9999,-7.23025,0.0,-9999,-9999,-7.2548,0.0,0.0377508,-7.52377,-7.50215,-7.50215,-7.24823,-7.06481,-7.04124,-6.91028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.94811,5.67048,0.0,-9999,-9999,-20.7824,3.60339,0.0,-9999,-9999,2.82019,5.79507,0.0,-9999,-9999,-20.67,3.66436,0.0,-9999,-9999,2.76486,2.91538,2.95948,2.9952,3.00385,3.01238,3.0166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.5439,-21.5439,-21.5439,-20.7908,-20.5445,-20.5162,-20.1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91545,4.92446,4.86783,0.0126621,4.75317,4.77081,4.80363,4.86205,4.90599,4.95669,4.96224,12.1741,12.1547,12.1226,0.0354914,11.6634,11.8592,11.995,12.1637,12.2946,12.3464,12.3775,3.28416,3.26583,2.91019,0.098506,2.09798,2.09994,2.15943,3.28416,3.36812,3.49033,3.51889,7.52266,7.55738,6.62896,0.17542,5.18959,5.19488,5.23444,7.29981,7.5348,7.5456,7.56226,-9999,-9999
20130104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.74,5.227,3.473,8.858,4.026,6.74,0.0,5.227,3.473,0.0,8.858,4.026,0.0,176.541,282.142,0.625,118.432,118.179,0.625,-9999,-9999,262.784,262.784,0.0,-9999,-9999,280.782,280.782,0.0,-9999,-9999,3.15,3.15,0.0,102.556,102.556,0.0,0.0,0.0,0.0,1.356,1.356,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,124.63,0.0,110.261,-9999,-9999,-9999,-9999,17.1001,0.0,15.1286,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,-7.66909,0.0,-9999,-9999,-7.75296,0.0,-9999,-9999,-7.72294,0.0,0.075304,-8.22169,-8.22169,-8.22169,-7.83639,-7.39841,-7.24382,-6.84752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.02404,5.23155,0.0,-9999,-9999,-21.9704,4.07079,0.0,-9999,-9999,2.8855,5.36172,0.0,-9999,-9999,-21.9704,4.07079,0.0,-9999,-9999,2.74592,2.74592,2.74592,2.96419,3.02404,3.05235,3.06472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.859,-22.859,-22.859,-22.1633,-21.3258,-21.036,-20.1099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26754,5.27482,5.23542,0.0112059,5.12792,5.14822,5.18758,5.2366,5.26754,5.30837,5.31285,13.1124,13.0278,12.9584,0.0714728,12.0241,12.4409,12.6009,12.9819,13.3642,13.4393,13.4647,3.89622,3.88483,3.42786,0.117562,2.46152,2.46504,2.51851,3.89622,3.98456,4.09599,4.12565,7.35014,7.38505,6.46665,0.17321,5.04653,5.05179,5.09066,7.10953,7.36657,7.3773,7.38963,-9999,-9999
20130105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.512,5.341,2.814,8.151,2.397,6.512,0.0,5.341,2.814,0.0,8.151,2.397,0.0,177.339,280.042,0.625,48.026,47.957,0.625,-9999,-9999,302.969,302.969,0.0,-9999,-9999,329.748,329.748,0.0,-9999,-9999,1.795,1.795,0.0,102.444,102.444,0.0,7.541,7.541,0.0,2.558,2.558,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,121.645,0.0,106.39,-9999,-9999,-9999,-9999,7.74575,0.0,6.77438,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,-7.60806,0.0,-9999,-9999,-7.62946,0.0,-9999,-9999,-7.68334,0.0,0.0210843,-7.81899,-7.81899,-7.81899,-7.6901,-7.60806,-7.58741,-7.52229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07715,5.48499,0.0,-9999,-9999,-21.9036,4.67118,0.0,-9999,-9999,3.0418,5.46473,0.0,-9999,-9999,-21.9036,4.67118,0.0,-9999,-9999,2.88468,2.91131,2.93162,3.02116,3.0418,3.07715,3.12765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.313,-22.313,-22.313,-21.9697,-21.7548,-21.6941,-21.5665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.22882,5.23646,5.19353,0.0115334,5.084,5.10173,5.14222,5.19342,5.22882,5.26993,5.27463,12.8957,12.8659,12.8769,0.0171704,12.6522,12.7809,12.8035,12.8827,12.9406,12.9935,13.0202,3.75389,3.73861,3.31216,0.112973,2.38244,2.38538,2.44324,3.75389,3.84359,3.9634,3.99562,3.67666,3.70455,3.13771,0.104212,2.29708,2.30046,2.32155,3.45128,3.69228,3.70481,3.73725,-9999,-9999
20130106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.025,6.91,1.277,9.585,1.458,8.025,0.0,6.91,1.277,0.0,9.585,1.458,0.0,178.193,282.474,0.625,82.891,82.608,0.625,-9999,-9999,305.552,305.552,0.0,-9999,-9999,332.896,332.896,0.0,-9999,-9999,1.743,1.743,0.0,102.226,102.226,0.0,2.647,2.647,0.0,2.586,2.586,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,122.705,0.0,106.076,-9999,-9999,-9999,-9999,1.96785,0.0,1.69542,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,-7.20141,0.0,-9999,-9999,-7.23025,0.0,-9999,-9999,-7.2548,0.0,0.0377508,-7.52377,-7.50215,-7.50215,-7.24823,-7.06481,-7.04124,-6.91028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.94811,5.67048,0.0,-9999,-9999,-20.7824,3.60339,0.0,-9999,-9999,2.82019,5.79507,0.0,-9999,-9999,-20.67,3.66436,0.0,-9999,-9999,2.76486,2.91538,2.95948,2.9952,3.00385,3.01238,3.0166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.5439,-21.5439,-21.5439,-20.7908,-20.5445,-20.5162,-20.1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.50431,5.51058,5.48123,0.01048,5.37753,5.39532,5.44279,5.48514,5.50526,5.54508,5.54894,12.7598,12.7408,12.736,0.0342574,12.3227,12.501,12.5863,12.7504,12.9141,12.9689,12.9911,4.2304,4.22029,3.71562,0.127838,2.666,2.67013,2.72357,4.2304,4.32377,4.43788,4.46598,5.59781,5.63065,4.86404,0.142791,3.70087,3.70537,3.7361,5.30319,5.61504,5.63292,5.64514,-9999,-9999
20130107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.259,5.851,2.625,9.229,3.878,7.259,0.0,5.851,2.625,0.0,9.229,3.878,0.0,179.105,282.142,0.625,106.854,106.62,0.625,-9999,-9999,277.626,277.626,0.0,-9999,-9999,298.867,298.867,0.0,-9999,-9999,2.257,2.257,0.0,102.395,102.395,0.0,0.0,0.0,0.0,3.195,3.195,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,124.63,0.0,106.478,-9999,-9999,-9999,-9999,17.1001,0.0,14.5597,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,-7.66909,0.0,-9999,-9999,-7.75296,0.0,-9999,-9999,-7.72294,0.0,0.075304,-8.22169,-8.22169,-8.22169,-7.83639,-7.39841,-7.24382,-6.84752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.02404,5.23155,0.0,-9999,-9999,-21.9704,4.07079,0.0,-9999,-9999,2.8855,5.36172,0.0,-9999,-9999,-21.9704,4.07079,0.0,-9999,-9999,2.74592,2.74592,2.74592,2.96419,3.02404,3.05235,3.06472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.859,-22.859,-22.859,-22.1633,-21.3258,-21.036,-20.1099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3625,5.36937,5.33415,0.0108906,5.22829,5.24753,5.29023,5.33765,5.3625,5.40329,5.40752,13.2068,13.1223,13.0571,0.0713306,12.1289,12.5421,12.7016,13.0766,13.4639,13.5394,13.5634,4.03969,4.02928,3.55054,0.122003,2.54829,2.55212,2.60504,4.03969,4.12974,4.24143,4.26978,6.75718,6.791,5.92827,0.162197,4.60033,4.6053,4.64134,6.49797,6.77401,6.78582,6.79488,-9999,-9999
20130108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.13,7.74,3.356,11.077,4.389,9.13,0.0,7.74,3.356,0.0,11.077,4.389,0.0,180.073,280.042,0.625,122.063,121.67,0.625,-9999,-9999,275.599,275.599,0.0,-9999,-9999,296.398,296.398,0.0,-9999,-9999,2.745,2.745,0.0,102.291,102.291,0.0,0.0,0.0,0.0,2.592,2.592,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,121.645,0.0,103.515,-9999,-9999,-9999,-9999,7.74575,0.0,6.56872,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,-7.60806,0.0,-9999,-9999,-7.62946,0.0,-9999,-9999,-7.68334,0.0,0.0210843,-7.81899,-7.81899,-7.81899,-7.6901,-7.60806,-7.58741,-7.52229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07715,5.48499,0.0,-9999,-9999,-21.9036,4.67118,0.0,-9999,-9999,3.0418,5.46473,0.0,-9999,-9999,-21.9036,4.67118,0.0,-9999,-9999,2.88468,2.91131,2.93162,3.02116,3.0418,3.07715,3.12765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.313,-22.313,-22.313,-21.9697,-21.7548,-21.6941,-21.5665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.698,5.70293,5.68688,0.00948172,5.5901,5.60418,5.66137,5.69034,5.71206,5.738,5.74104,13.3617,13.3324,13.3702,0.0162291,13.182,13.2797,13.3164,13.3562,13.4232,13.4957,13.5133,4.7472,4.74856,4.14124,0.144516,2.95956,2.96555,3.0066,4.73146,4.83841,4.9239,4.94904,7.5055,7.54041,6.61095,0.175529,5.171,5.17629,5.21583,7.27676,7.51831,7.52995,7.54523,-9999,-9999
20130109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.774,6.367,1.521,9.743,2.136,7.774,0.0,6.367,1.521,0.0,9.743,2.136,0.0,181.098,282.474,0.625,68.619,68.601,0.625,-9999,-9999,294.367,294.367,0.0,-9999,-9999,319.266,319.266,0.0,-9999,-9999,1.829,1.829,0.0,101.947,101.947,0.0,1.348,1.348,0.0,3.469,3.469,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,122.705,0.0,104.059,-9999,-9999,-9999,-9999,1.96785,0.0,1.66308,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,-7.20141,0.0,-9999,-9999,-7.23025,0.0,-9999,-9999,-7.2548,0.0,0.0377508,-7.52377,-7.50215,-7.50215,-7.24823,-7.06481,-7.04124,-6.91028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.94811,5.67048,0.0,-9999,-9999,-20.7824,3.60339,0.0,-9999,-9999,2.82019,5.79507,0.0,-9999,-9999,-20.67,3.66436,0.0,-9999,-9999,2.76486,2.91538,2.95948,2.9952,3.00385,3.01238,3.0166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.5439,-21.5439,-21.5439,-20.7908,-20.5445,-20.5162,-20.1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.45805,5.46453,5.4331,0.0106272,5.32859,5.3469,5.39272,5.43688,5.45805,5.49885,5.50284,12.7138,12.6948,12.6879,0.034343,12.2712,12.4507,12.5401,12.7042,12.8656,12.92,12.9429,4.16174,4.15129,3.65668,0.12572,2.62419,2.62819,2.68176,4.16174,4.25416,4.36811,4.39647,4.82589,4.85675,4.17005,0.127321,3.13601,3.14006,3.16694,4.55906,4.84248,4.85821,4.87802,-9999,-9999
20130110,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.39,4.663,1.513,6.406,1.742,5.39,0.0,4.663,1.513,0.0,6.406,1.742,0.0,182.177,282.142,0.625,103.496,103.055,0.625,-9999,-9999,262.489,262.489,0.0,-9999,-9999,280.423,280.423,0.0,-9999,-9999,2.603,2.603,0.0,102.095,102.095,0.0,0.002,0.002,0.0,4.267,4.267,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,124.63,0.0,105.691,-9999,-9999,-9999,-9999,17.1001,0.0,14.4517,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,-7.66909,0.0,-9999,-9999,-7.75296,0.0,-9999,-9999,-7.72294,0.0,0.075304,-8.22169,-8.22169,-8.22169,-7.83639,-7.39841,-7.24382,-6.84752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.02404,5.23155,0.0,-9999,-9999,-21.9704,4.07079,0.0,-9999,-9999,2.8855,5.36172,0.0,-9999,-9999,-21.9704,4.07079,0.0,-9999,-9999,2.74592,2.74592,2.74592,2.96419,3.02404,3.05235,3.06472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.859,-22.859,-22.859,-22.1633,-21.3258,-21.036,-20.1099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0261,5.03489,4.98063,0.0125298,4.86632,4.88336,4.91846,4.97605,5.01963,5.06766,5.07306,12.8727,12.7879,12.7036,0.0719547,11.7481,12.1774,12.3394,12.7422,13.1051,13.1796,13.21,3.34675,3.32549,2.97075,0.100259,2.14398,2.14575,2.20953,3.34675,3.43498,3.56692,3.59612,6.70958,6.74516,5.86519,0.164836,4.51815,4.52328,4.55952,6.40499,6.72782,6.74333,6.75669,-9999,-9999
20130111,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.882,3.467,1.476,6.701,2.672,4.882,0.0,3.467,1.476,0.0,6.701,2.672,0.0,183.313,280.042,0.604167,106.012,106.012,0.604167,-9999,-9999,260.783,260.783,0.0,-9999,-9999,278.345,278.345,0.0,-9999,-9999,2.641,2.641,0.0,102.378,102.378,0.0,0.195,0.195,0.0,3.403,3.403,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,121.645,0.0,103.16,-9999,-9999,-9999,-9999,7.74575,0.0,6.54612,-9999,-9999,-9999,-9999,11.0,3,27,21,0,0,-7.60806,0.0,-9999,-9999,-7.62946,0.0,-9999,-9999,-7.68334,0.0,0.0210843,-7.81899,-7.81899,-7.81899,-7.6901,-7.60806,-7.58741,-7.52229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.51662,5.06226,0.0,-9999,-9999,-21.2791,5.37769,0.0,-9999,-9999,3.47997,5.04276,0.0,-9999,-9999,-21.2791,5.37769,0.0,-9999,-9999,3.3271,3.35471,3.35471,3.44278,3.47997,3.51662,3.56899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.6487,-21.6487,-21.6487,-21.342,-21.1503,-21.0573,-20.9439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.93258,4.94174,4.88371,0.012842,4.76753,4.78576,4.81803,4.87755,4.92213,4.97413,4.97976,12.6012,12.5712,12.5671,0.0179237,12.3166,12.4621,12.5077,12.5878,12.6424,12.682,12.7103,3.2204,3.19877,2.86168,0.0964053,2.06638,2.06792,2.13011,3.2204,3.30661,3.43784,3.46575,6.82345,6.85875,5.97402,0.165983,4.61652,4.62165,4.65831,6.53433,6.84182,6.85447,6.86629,-9999,-9999
20130112,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.227,1.351,1.529,5.638,3.135,3.227,0.0,1.351,1.529,0.0,5.638,3.135,0.0,184.502,282.474,0.604167,131.068,131.068,0.604167,-9999,-9999,240.215,240.215,0.0,-9999,-9999,253.282,253.282,0.0,-9999,-9999,2.666,2.666,0.0,102.398,102.398,0.0,0.0,0.0,0.0,2.786,2.786,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,122.705,0.0,104.37,-9999,-9999,-9999,-9999,1.96785,0.0,1.66806,-9999,-9999,-9999,-9999,11.0,3,27,21,0,0,-7.20141,0.0,-9999,-9999,-7.23025,0.0,-9999,-9999,-7.2548,0.0,0.0377508,-7.52377,-7.50215,-7.50215,-7.24823,-7.06481,-7.04124,-6.91028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.43326,5.1524,0.0,-9999,-9999,-20.2762,4.20922,0.0,-9999,-9999,3.3006,5.30694,0.0,-9999,-9999,-20.1691,4.24562,0.0,-9999,-9999,3.1858,3.34189,3.38762,3.42828,3.55155,3.56039,3.56477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.9275,-20.9275,-20.9275,-20.3413,-20.1274,-20.1004,-19.7984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62997,4.64044,4.56935,0.0139964,4.44812,4.46872,4.4914,4.55776,4.61373,4.67162,4.67806,11.8903,11.8707,11.8241,0.036232,11.3403,11.5456,11.6873,11.8795,12.0005,12.0432,12.079,2.76853,2.74385,2.47516,0.0825924,1.79295,1.79355,1.85373,2.76853,2.86454,2.98312,3.00624,7.93464,7.96987,7.007,0.182398,5.50883,5.51427,5.55567,7.73265,7.94657,7.95484,7.97529,-9999,-9999
